"id_site","code_module","code_presentation","activity_type","week_from","week_to"
"779347","FFF","2014B","oucontent","5","5"
"779545","FFF","2014B","resource","",""
"779731","FFF","2014B","url","10","10"
"779381","FFF","2014B","oucontent","27","27"
"779586","FFF","2014B","resource","",""
"779764","FFF","2014B","url","20","20"
"779414","FFF","2014B","oucontent","29","29"
"779626","FFF","2014B","subpage","5","5"
"779793","FFF","2014B","url","24","24"
"779450","FFF","2014B","page","28","28"
"779660","FFF","2014B","subpage","",""
"779826","FFF","2014B","url","",""
"779263","FFF","2014B","quiz","",""
"779495","FFF","2014B","resource","",""
"779695","FFF","2014B","oucollaborate","",""
"779344","FFF","2014B","oucontent","",""
"779538","FFF","2014B","resource","29","29"
"779728","FFF","2014B","url","3","3"
"779378","FFF","2014B","oucontent","21","21"
"779583","FFF","2014B","resource","",""
"779761","FFF","2014B","url","20","20"
"779411","FFF","2014B","oucontent","13","13"
"779790","FFF","2014B","url","24","24"
"779446","FFF","2014B","ouwiki","26","26"
"779657","FFF","2014B","subpage","",""
"779822","FFF","2014B","url","29","29"
"779260","FFF","2014B","quiz","",""
"779492","FFF","2014B","resource","",""
"779692","FFF","2014B","oucollaborate","",""
"779341","FFF","2014B","oucontent","19","19"
"779534","FFF","2014B","resource","",""
"779725","FFF","2014B","url","2","2"
"779375","FFF","2014B","oucontent","26","26"
"779580","FFF","2014B","resource","",""
"779758","FFF","2014B","url","18","18"
"779408","FFF","2014B","oucontent","11","11"
"779623","FFF","2014B","subpage","2","2"
"779787","FFF","2014B","url","24","24"
"779441","FFF","2014B","ouwiki","",""
"779654","FFF","2014B","subpage","",""
"779819","FFF","2014B","url","29","29"
"779088","FFF","2014B","folder","",""
"779489","FFF","2014B","resource","",""
"779689","FFF","2014B","oucollaborate","",""
"779336","FFF","2014B","oucontent","9","9"
"779530","FFF","2014B","resource","",""
"779722","FFF","2014B","url","1","1"
"779371","FFF","2014B","oucontent","11","11"
"779571","FFF","2014B","resource","",""
"779755","FFF","2014B","url","18","18"
"779405","FFF","2014B","oucontent","29","29"
"779620","FFF","2014B","subpage","",""
"779438","FFF","2014B","oucontent","28","28"
"779651","FFF","2014B","subpage","",""
"779816","FFF","2014B","url","28","28"
"779076","FFF","2014B","forumng","",""
"779483","FFF","2014B","resource","",""
"779686","FFF","2014B","oucollaborate","",""
"779333","FFF","2014B","oucontent","10","10"
"779526","FFF","2014B","resource","21","21"
"779719","FFF","2014B","url","",""
"779368","FFF","2014B","oucontent","14","14"
"779568","FFF","2014B","resource","",""
"779752","FFF","2014B","url","18","18"
"779401","FFF","2014B","oucontent","10","10"
"779616","FFF","2014B","resource","",""
"779784","FFF","2014B","url","22","22"
"779435","FFF","2014B","oucontent","28","28"
"779648","FFF","2014B","subpage","",""
"779813","FFF","2014B","url","28","28"
"779071","FFF","2014B","glossary","",""
"779479","FFF","2014B","resource","",""
"779683","FFF","2014B","oucollaborate","",""
"779283","FFF","2014B","questionnaire","25","25"
"779523","FFF","2014B","resource","13","13"
"779716","FFF","2014B","url","",""
"779365","FFF","2014B","oucontent","15","15"
"779563","FFF","2014B","resource","",""
"779749","FFF","2014B","url","18","18"
"779398","FFF","2014B","oucontent","9","9"
"779613","FFF","2014B","resource","",""
"779781","FFF","2014B","url","22","22"
"779430","FFF","2014B","oucontent","29","29"
"779644","FFF","2014B","subpage","28","28"
"779810","FFF","2014B","url","28","28"
"779476","FFF","2014B","page","",""
"779679","FFF","2014B","dataplus","",""
"779280","FFF","2014B","questionnaire","19","19"
"779518","FFF","2014B","resource","",""
"779713","FFF","2014B","url","",""
"779362","FFF","2014B","oucontent","11","11"
"779560","FFF","2014B","resource","",""
"779746","FFF","2014B","url","18","18"
"779395","FFF","2014B","oucontent","9","9"
"779609","FFF","2014B","resource","",""
"779778","FFF","2014B","url","21","21"
"779427","FFF","2014B","oucontent","",""
"779641","FFF","2014B","subpage","25","25"
"779807","FFF","2014B","url","28","28"
"779467","FFF","2014B","page","28","28"
"779676","FFF","2014B","dataplus","20","20"
"779277","FFF","2014B","questionnaire","5","5"
"779515","FFF","2014B","resource","",""
"779710","FFF","2014B","url","",""
"779359","FFF","2014B","oucontent","21","21"
"779557","FFF","2014B","resource","",""
"779743","FFF","2014B","url","14","14"
"779392","FFF","2014B","oucontent","16","16"
"779606","FFF","2014B","resource","",""
"779775","FFF","2014B","url","21","21"
"779638","FFF","2014B","subpage","21","21"
"779804","FFF","2014B","url","27","27"
"779464","FFF","2014B","page","12","12"
"779673","FFF","2014B","subpage","20","20"
"924225","FFF","2014B","oucollaborate","",""
"779274","FFF","2014B","questionnaire","24","24"
"779512","FFF","2014B","resource","",""
"779707","FFF","2014B","url","",""
"779356","FFF","2014B","oucontent","8","8"
"779554","FFF","2014B","resource","18","18"
"779740","FFF","2014B","url","14","14"
"779389","FFF","2014B","oucontent","29","29"
"779594","FFF","2014B","resource","",""
"779772","FFF","2014B","url","21","21"
"779423","FFF","2014B","oucontent","27","27"
"779635","FFF","2014B","subpage","16","16"
"779801","FFF","2014B","url","27","27"
"779461","FFF","2014B","page","1","1"
"779670","FFF","2014B","subpage","",""
"779839","FFF","2014B","dualpane","",""
"779271","FFF","2014B","questionnaire","28","28"
"779503","FFF","2014B","resource","",""
"779509","FFF","2014B","resource","",""
"779704","FFF","2014B","url","18","18"
"779353","FFF","2014B","oucontent","11","11"
"779551","FFF","2014B","resource","18","18"
"779736","FFF","2014B","url","12","12"
"779386","FFF","2014B","oucontent","",""
"779591","FFF","2014B","resource","",""
"779769","FFF","2014B","url","21","21"
"779420","FFF","2014B","oucontent","26","26"
"779632","FFF","2014B","subpage","12","12"
"779798","FFF","2014B","url","26","26"
"779456","FFF","2014B","page","",""
"779665","FFF","2014B","subpage","18","18"
"779833","FFF","2014B","url","",""
"779268","FFF","2014B","quiz","10","10"
"779500","FFF","2014B","resource","",""
"779506","FFF","2014B","resource","",""
"779701","FFF","2014B","url","",""
"779349","FFF","2014B","oucontent","3","3"
"779548","FFF","2014B","resource","29","29"
"779733","FFF","2014B","url","10","10"
"779383","FFF","2014B","oucontent","1","1"
"779588","FFF","2014B","resource","",""
"779766","FFF","2014B","url","20","20"
"779416","FFF","2014B","oucontent","9","9"
"779629","FFF","2014B","subpage","9","9"
"779795","FFF","2014B","url","24","24"
"779452","FFF","2014B","page","",""
"779662","FFF","2014B","subpage","",""
"779830","FFF","2014B","url","9","9"
"779265","FFF","2014B","quiz","",""
"779497","FFF","2014B","resource","",""
"779697","FFF","2014B","url","",""
"779346","FFF","2014B","oucontent","24","24"
"779540","FFF","2014B","resource","",""
"779730","FFF","2014B","url","9","9"
"779380","FFF","2014B","oucontent","1","1"
"779585","FFF","2014B","resource","",""
"779763","FFF","2014B","url","20","20"
"779413","FFF","2014B","oucontent","15","15"
"779625","FFF","2014B","subpage","4","4"
"779792","FFF","2014B","url","24","24"
"779449","FFF","2014B","ouwiki","",""
"779659","FFF","2014B","subpage","",""
"779825","FFF","2014B","url","",""
"779262","FFF","2014B","quiz","",""
"779494","FFF","2014B","resource","",""
"779694","FFF","2014B","oucollaborate","",""
"779343","FFF","2014B","oucontent","12","12"
"779537","FFF","2014B","resource","28","28"
"779727","FFF","2014B","url","3","3"
"779377","FFF","2014B","oucontent","22","22"
"779582","FFF","2014B","resource","",""
"779760","FFF","2014B","url","18","18"
"779410","FFF","2014B","oucontent","25","25"
"779789","FFF","2014B","url","24","24"
"779445","FFF","2014B","ouwiki","19","19"
"779656","FFF","2014B","subpage","",""
"779821","FFF","2014B","url","29","29"
"779259","FFF","2014B","quiz","",""
"779491","FFF","2014B","resource","",""
"779691","FFF","2014B","oucollaborate","",""
"779339","FFF","2014B","oucontent","",""
"779533","FFF","2014B","resource","",""
"779724","FFF","2014B","url","1","1"
"779374","FFF","2014B","oucontent","",""
"779575","FFF","2014B","resource","",""
"779757","FFF","2014B","url","18","18"
"779407","FFF","2014B","oucontent","15","15"
"779622","FFF","2014B","subpage","",""
"779440","FFF","2014B","oucontent","",""
"779653","FFF","2014B","subpage","",""
"779818","FFF","2014B","url","",""
"779080","FFF","2014B","forumng","",""
"779488","FFF","2014B","resource","",""
"779688","FFF","2014B","oucollaborate","",""
"779335","FFF","2014B","oucontent","1","1"
"779529","FFF","2014B","resource","",""
"779721","FFF","2014B","url","1","1"
"779370","FFF","2014B","oucontent","15","15"
"779570","FFF","2014B","resource","",""
"779754","FFF","2014B","url","18","18"
"779404","FFF","2014B","oucontent","11","11"
"779619","FFF","2014B","subpage","",""
"779786","FFF","2014B","url","20","20"
"779437","FFF","2014B","oucontent","",""
"779650","FFF","2014B","subpage","",""
"779815","FFF","2014B","url","28","28"
"779075","FFF","2014B","forumng","",""
"779482","FFF","2014B","resource","",""
"779685","FFF","2014B","oucollaborate","",""
"779332","FFF","2014B","oucontent","",""
"779525","FFF","2014B","resource","15","15"
"779718","FFF","2014B","url","",""
"779367","FFF","2014B","oucontent","",""
"779567","FFF","2014B","resource","",""
"779751","FFF","2014B","url","18","18"
"779400","FFF","2014B","oucontent","10","10"
"779615","FFF","2014B","resource","",""
"779783","FFF","2014B","url","22","22"
"779433","FFF","2014B","oucontent","",""
"779647","FFF","2014B","subpage","",""
"779812","FFF","2014B","url","18","18"
"779478","FFF","2014B","resource","",""
"779682","FFF","2014B","oucollaborate","",""
"779282","FFF","2014B","questionnaire","20","20"
"779522","FFF","2014B","resource","11","11"
"779715","FFF","2014B","url","",""
"779364","FFF","2014B","oucontent","15","15"
"779562","FFF","2014B","resource","",""
"779748","FFF","2014B","url","18","18"
"779397","FFF","2014B","oucontent","9","9"
"779612","FFF","2014B","resource","",""
"779780","FFF","2014B","url","22","22"
"779429","FFF","2014B","oucontent","",""
"779643","FFF","2014B","subpage","27","27"
"779809","FFF","2014B","url","28","28"
"779475","FFF","2014B","page","",""
"779678","FFF","2014B","dataplus","",""
"779279","FFF","2014B","questionnaire","19","19"
"779517","FFF","2014B","resource","",""
"779712","FFF","2014B","url","",""
"779361","FFF","2014B","oucontent","11","11"
"779559","FFF","2014B","resource","",""
"779745","FFF","2014B","url","16","16"
"779394","FFF","2014B","oucontent","8","8"
"779608","FFF","2014B","resource","",""
"779777","FFF","2014B","url","21","21"
"779426","FFF","2014B","oucontent","",""
"779640","FFF","2014B","subpage","24","24"
"779806","FFF","2014B","url","18","18"
"779466","FFF","2014B","page","28","28"
"779675","FFF","2014B","subpage","1","1"
"779276","FFF","2014B","questionnaire","5","5"
"779514","FFF","2014B","resource","",""
"779709","FFF","2014B","url","",""
"779358","FFF","2014B","oucontent","8","8"
"779556","FFF","2014B","resource","",""
"779742","FFF","2014B","url","14","14"
"779391","FFF","2014B","oucontent","8","8"
"779605","FFF","2014B","resource","",""
"779774","FFF","2014B","url","21","21"
"779637","FFF","2014B","subpage","19","19"
"779803","FFF","2014B","url","27","27"
"779463","FFF","2014B","page","12","12"
"779672","FFF","2014B","subpage","8","8"
"924222","FFF","2014B","forumng","",""
"779273","FFF","2014B","questionnaire","25","25"
"779511","FFF","2014B","resource","",""
"779706","FFF","2014B","url","",""
"779355","FFF","2014B","oucontent","8","8"
"779553","FFF","2014B","resource","18","18"
"779738","FFF","2014B","url","13","13"
"779388","FFF","2014B","oucontent","16","16"
"779593","FFF","2014B","resource","",""
"779771","FFF","2014B","url","21","21"
"779422","FFF","2014B","oucontent","27","27"
"779634","FFF","2014B","subpage","15","15"
"779800","FFF","2014B","url","26","26"
"779460","FFF","2014B","page","",""
"779668","FFF","2014B","subpage","",""
"779835","FFF","2014B","dualpane","",""
"779270","FFF","2014B","questionnaire","28","28"
"779502","FFF","2014B","resource","",""
"779508","FFF","2014B","resource","",""
"779703","FFF","2014B","url","",""
"779352","FFF","2014B","oucontent","11","11"
"779550","FFF","2014B","resource","18","18"
"779735","FFF","2014B","url","11","11"
"779385","FFF","2014B","oucontent","",""
"779590","FFF","2014B","resource","",""
"779768","FFF","2014B","url","21","21"
"779418","FFF","2014B","oucontent","15","15"
"779631","FFF","2014B","subpage","11","11"
"779797","FFF","2014B","url","25","25"
"779455","FFF","2014B","page","",""
"779664","FFF","2014B","subpage","",""
"779832","FFF","2014B","url","",""
"779267","FFF","2014B","quiz","10","10"
"779499","FFF","2014B","resource","",""
"779505","FFF","2014B","resource","",""
"779700","FFF","2014B","url","",""
"779348","FFF","2014B","oucontent","",""
"779546","FFF","2014B","resource","",""
"779732","FFF","2014B","url","10","10"
"779382","FFF","2014B","oucontent","20","20"
"779587","FFF","2014B","resource","",""
"779765","FFF","2014B","url","20","20"
"779415","FFF","2014B","oucontent","16","16"
"779628","FFF","2014B","subpage","7","7"
"779794","FFF","2014B","url","24","24"
"779451","FFF","2014B","page","",""
"779661","FFF","2014B","subpage","",""
"779829","FFF","2014B","url","",""
"779264","FFF","2014B","quiz","",""
"779496","FFF","2014B","resource","",""
"779696","FFF","2014B","oucollaborate","",""
"779345","FFF","2014B","oucontent","27","27"
"779539","FFF","2014B","resource","",""
"779729","FFF","2014B","url","3","3"
"779379","FFF","2014B","oucontent","1","1"
"779584","FFF","2014B","resource","",""
"779762","FFF","2014B","url","20","20"
"779412","FFF","2014B","oucontent","8","8"
"779791","FFF","2014B","url","24","24"
"779447","FFF","2014B","ouwiki","",""
"779658","FFF","2014B","subpage","",""
"779823","FFF","2014B","url","29","29"
"779261","FFF","2014B","quiz","",""
"779493","FFF","2014B","resource","",""
"779693","FFF","2014B","oucollaborate","",""
"779342","FFF","2014B","oucontent","",""
"779536","FFF","2014B","resource","28","28"
"779726","FFF","2014B","url","2","2"
"779376","FFF","2014B","oucontent","",""
"779581","FFF","2014B","resource","",""
"779759","FFF","2014B","url","18","18"
"779409","FFF","2014B","oucontent","11","11"
"779624","FFF","2014B","subpage","3","3"
"779788","FFF","2014B","url","24","24"
"779442","FFF","2014B","ouwiki","",""
"779655","FFF","2014B","subpage","",""
"779820","FFF","2014B","url","29","29"
"779089","FFF","2014B","homepage","",""
"779490","FFF","2014B","resource","",""
"779690","FFF","2014B","oucollaborate","",""
"779337","FFF","2014B","oucontent","9","9"
"779532","FFF","2014B","resource","",""
"779723","FFF","2014B","url","1","1"
"779372","FFF","2014B","oucontent","16","16"
"779573","FFF","2014B","resource","",""
"779756","FFF","2014B","url","18","18"
"779406","FFF","2014B","oucontent","11","11"
"779621","FFF","2014B","subpage","",""
"779439","FFF","2014B","oucontent","",""
"779652","FFF","2014B","subpage","",""
"779817","FFF","2014B","url","28","28"
"779078","FFF","2014B","forumng","",""
"779487","FFF","2014B","resource","",""
"779687","FFF","2014B","oucollaborate","",""
"779334","FFF","2014B","oucontent","9","9"
"779527","FFF","2014B","resource","",""
"779720","FFF","2014B","url","1","1"
"779369","FFF","2014B","oucontent","13","13"
"779569","FFF","2014B","resource","",""
"779753","FFF","2014B","url","18","18"
"779402","FFF","2014B","oucontent","11","11"
"779617","FFF","2014B","resource","",""
"779785","FFF","2014B","url","22","22"
"883082","FFF","2014J","subpage","",""
