"code_module","code_presentation","id_student","gender","region","highest_education","imd_band","age_band","num_of_prev_attempts","studied_credits","disability","final_result"
"CCC","2014B","129638","F","London Region","Lower Than A Level","30-40%","35-55","0","30","N","Withdrawn"
"CCC","2014B","129878","M","East Midlands Region","Lower Than A Level","40-50%","35-55","0","45","N","Fail"
"CCC","2014B","131145","M","South West Region","A Level or Equivalent","40-50%","0-35","0","90","N","Distinction"
"CCC","2014B","131695","F","East Midlands Region","Lower Than A Level","0-10%","0-35","0","120","N","Withdrawn"
"CCC","2014B","131933","M","Scotland","Post Graduate Qualification","60-70%","35-55","0","30","N","Withdrawn"
"CCC","2014B","132191","M","West Midlands Region","A Level or Equivalent","50-60%","0-35","0","60","Y","Withdrawn"
"CCC","2014B","133104","M","London Region","Lower Than A Level","10-20","0-35","0","120","Y","Distinction"
"CCC","2014B","134025","M","London Region","A Level or Equivalent","60-70%","0-35","0","60","N","Withdrawn"
"CCC","2014B","135330","M","Scotland","HE Qualification","90-100%","35-55","0","60","N","Fail"
"CCC","2014B","135792","M","South West Region","Lower Than A Level","50-60%","0-35","0","60","N","Fail"
"CCC","2014B","139190","M","East Midlands Region","Lower Than A Level","50-60%","0-35","0","150","N","Withdrawn"
"CCC","2014B","142935","F","London Region","Lower Than A Level","10-20","35-55","0","60","N","Pass"
"CCC","2014B","145282","M","Yorkshire Region","Lower Than A Level","60-70%","0-35","0","60","N","Distinction"
"CCC","2014B","146125","M","Yorkshire Region","Lower Than A Level","80-90%","0-35","0","60","N","Withdrawn"
"CCC","2014B","147675","M","West Midlands Region","A Level or Equivalent","70-80%","35-55","0","30","N","Withdrawn"
"CCC","2014B","151549","M","West Midlands Region","Lower Than A Level","70-80%","35-55","0","30","N","Fail"
"CCC","2014B","152428","F","West Midlands Region","A Level or Equivalent","20-30%","0-35","0","120","N","Pass"
"CCC","2014B","152962","F","East Anglian Region","A Level or Equivalent","80-90%","35-55","0","30","N","Pass"
"CCC","2014B","153687","F","South Region","A Level or Equivalent","60-70%","35-55","0","400","N","Withdrawn"
"CCC","2014B","153788","M","North Western Region","No Formal quals","20-30%","0-35","0","90","N","Withdrawn"
"CCC","2014B","155067","M","North Western Region","Lower Than A Level","0-10%","35-55","0","45","N","Fail"
"CCC","2014B","155963","M","North Region","A Level or Equivalent","10-20","0-35","0","60","N","Distinction"
"CCC","2014B","157310","F","Yorkshire Region","Lower Than A Level","40-50%","0-35","0","210","N","Withdrawn"
"CCC","2014B","160300","M","East Anglian Region","A Level or Equivalent","10-20","35-55","0","60","N","Pass"
"CCC","2014B","162650","M","West Midlands Region","HE Qualification","40-50%","35-55","0","30","N","Fail"
"CCC","2014B","165647","F","Scotland","A Level or Equivalent","30-40%","0-35","0","120","N","Withdrawn"
"CCC","2014B","165733","M","Scotland","A Level or Equivalent","20-30%","0-35","0","90","Y","Withdrawn"
"CCC","2014B","166160","F","South Region","HE Qualification","80-90%","0-35","0","30","N","Distinction"
"CCC","2014B","167791","M","North Western Region","A Level or Equivalent","20-30%","35-55","0","60","N","Pass"
"CCC","2014B","168178","M","London Region","A Level or Equivalent","40-50%","35-55","0","30","Y","Pass"
"CCC","2014B","169380","M","East Midlands Region","A Level or Equivalent","50-60%","35-55","0","60","N","Pass"
"CCC","2014B","170025","F","East Anglian Region","HE Qualification","90-100%","0-35","0","60","N","Withdrawn"
"CCC","2014B","170864","M","Scotland","HE Qualification","90-100%","35-55","0","60","Y","Distinction"
"CCC","2014B","171896","F","South East Region","A Level or Equivalent","40-50%","0-35","0","60","N","Withdrawn"
"CCC","2014B","172301","M","East Midlands Region","Lower Than A Level","0-10%","0-35","0","60","N","Withdrawn"
"CCC","2014B","172965","M","Scotland","Post Graduate Qualification","60-70%","35-55","0","150","N","Distinction"
"CCC","2014B","174807","F","South West Region","HE Qualification","20-30%","35-55","0","90","N","Withdrawn"
"CCC","2014B","175490","F","South Region","HE Qualification","40-50%","0-35","0","60","N","Distinction"
"CCC","2014B","177967","M","Scotland","A Level or Equivalent","0-10%","0-35","0","30","N","Pass"
"CCC","2014B","178072","M","South East Region","A Level or Equivalent","0-10%","0-35","0","60","N","Withdrawn"
"CCC","2014B","178496","M","North Region","HE Qualification","","0-35","0","30","N","Distinction"
"CCC","2014B","178654","F","Scotland","HE Qualification","60-70%","35-55","0","30","N","Withdrawn"
"CCC","2014B","179904","M","North Western Region","A Level or Equivalent","70-80%","0-35","0","90","N","Fail"
"CCC","2014B","180976","M","North Region","Lower Than A Level","","35-55","0","30","N","Pass"
"CCC","2014B","183331","M","Ireland","Lower Than A Level","0-10%","0-35","0","90","N","Withdrawn"
"CCC","2014B","187435","F","South Region","Lower Than A Level","50-60%","35-55","0","90","N","Distinction"
"CCC","2014B","189428","F","South Region","Lower Than A Level","80-90%","0-35","0","30","Y","Pass"
"CCC","2014B","189624","M","West Midlands Region","A Level or Equivalent","60-70%","0-35","0","150","N","Pass"
"CCC","2014B","191000","M","Scotland","Post Graduate Qualification","80-90%","0-35","0","60","N","Withdrawn"
"CCC","2014B","191797","F","North Western Region","A Level or Equivalent","80-90%","0-35","0","30","N","Pass"
"CCC","2014B","193163","M","Scotland","HE Qualification","70-80%","35-55","0","90","N","Fail"
"CCC","2014B","194377","F","Wales","A Level or Equivalent","90-100%","0-35","0","60","N","Withdrawn"
"CCC","2014B","197486","M","Wales","HE Qualification","60-70%","0-35","0","60","N","Withdrawn"
"CCC","2014B","198902","M","London Region","Lower Than A Level","0-10%","0-35","0","60","N","Fail"
"CCC","2014B","200372","M","Scotland","HE Qualification","20-30%","35-55","0","120","N","Withdrawn"
"CCC","2014B","201327","M","North Western Region","HE Qualification","90-100%","35-55","0","30","N","Fail"
"CCC","2014B","203707","M","East Anglian Region","A Level or Equivalent","30-40%","0-35","0","150","N","Withdrawn"
"CCC","2014B","204725","M","South Region","A Level or Equivalent","90-100%","0-35","0","30","N","Pass"
"CCC","2014B","205398","M","London Region","A Level or Equivalent","20-30%","35-55","0","60","N","Fail"
"CCC","2014B","205425","M","East Anglian Region","A Level or Equivalent","50-60%","0-35","0","60","N","Distinction"
"CCC","2014B","206245","M","North Western Region","HE Qualification","0-10%","35-55","0","40","N","Pass"
"CCC","2014B","206599","M","South West Region","A Level or Equivalent","90-100%","0-35","0","90","N","Fail"
"CCC","2014B","227192","M","London Region","Lower Than A Level","60-70%","0-35","0","60","N","Pass"
"CCC","2014B","227752","F","Yorkshire Region","Lower Than A Level","0-10%","35-55","0","30","N","Fail"
"CCC","2014B","227833","F","South Region","A Level or Equivalent","60-70%","35-55","0","60","N","Withdrawn"
"CCC","2014B","228153","M","West Midlands Region","Lower Than A Level","30-40%","0-35","0","90","N","Fail"
"CCC","2014B","228743","M","South East Region","Lower Than A Level","40-50%","35-55","0","90","N","Fail"
"CCC","2014B","229499","M","East Midlands Region","A Level or Equivalent","50-60%","0-35","0","90","N","Fail"
"CCC","2014B","230340","M","London Region","A Level or Equivalent","20-30%","0-35","0","60","N","Withdrawn"
"CCC","2014B","230761","M","North Region","A Level or Equivalent","80-90%","0-35","0","180","N","Fail"
"CCC","2014B","231339","F","Scotland","Post Graduate Qualification","80-90%","0-35","0","60","N","Distinction"
"CCC","2014B","232833","M","East Midlands Region","A Level or Equivalent","90-100%","0-35","0","60","N","Withdrawn"
"CCC","2014B","233444","M","London Region","Lower Than A Level","0-10%","0-35","0","60","N","Withdrawn"
"CCC","2014B","234068","M","East Anglian Region","Lower Than A Level","80-90%","35-55","0","90","N","Fail"
"CCC","2014B","234311","M","Scotland","A Level or Equivalent","20-30%","0-35","0","60","N","Fail"
"CCC","2014B","234740","M","West Midlands Region","Lower Than A Level","0-10%","0-35","0","30","N","Withdrawn"
"CCC","2014B","235175","M","East Midlands Region","Lower Than A Level","40-50%","0-35","0","90","Y","Withdrawn"
"CCC","2014B","236205","M","Ireland","HE Qualification","","35-55","0","30","N","Pass"
"CCC","2014B","236620","M","South Region","A Level or Equivalent","30-40%","35-55","0","60","N","Pass"
"CCC","2014B","237934","M","Scotland","HE Qualification","80-90%","0-35","0","60","N","Fail"
"CCC","2014B","239707","M","Wales","A Level or Equivalent","50-60%","35-55","0","60","N","Withdrawn"
"CCC","2014B","241955","M","South West Region","HE Qualification","30-40%","0-35","0","60","N","Fail"
"CCC","2014B","242778","M","Scotland","HE Qualification","90-100%","35-55","0","90","N","Withdrawn"
"CCC","2014B","242858","M","East Midlands Region","A Level or Equivalent","20-30%","0-35","0","60","N","Pass"
"CCC","2014B","243351","M","West Midlands Region","A Level or Equivalent","0-10%","0-35","0","90","N","Withdrawn"
"CCC","2014B","244902","M","East Anglian Region","A Level or Equivalent","80-90%","0-35","0","30","N","Withdrawn"
"CCC","2014B","244977","M","East Anglian Region","A Level or Equivalent","50-60%","0-35","0","60","N","Pass"
"CCC","2014B","245217","M","East Midlands Region","A Level or Equivalent","50-60%","0-35","0","235","N","Withdrawn"
"CCC","2014B","245494","M","Scotland","HE Qualification","60-70%","35-55","0","90","N","Withdrawn"
"CCC","2014B","246248","F","South West Region","HE Qualification","40-50%","0-35","0","60","N","Fail"
"CCC","2014B","247819","M","South East Region","Lower Than A Level","30-40%","0-35","0","60","N","Pass"
"CCC","2014B","248252","F","Yorkshire Region","HE Qualification","0-10%","35-55","0","90","N","Withdrawn"
"CCC","2014B","250092","M","North Western Region","A Level or Equivalent","40-50%","0-35","0","60","N","Fail"
"CCC","2014B","251385","F","East Anglian Region","A Level or Equivalent","80-90%","0-35","0","60","N","Distinction"
"CCC","2014B","253859","M","Scotland","A Level or Equivalent","90-100%","0-35","0","30","N","Distinction"
"CCC","2014B","255140","M","West Midlands Region","A Level or Equivalent","70-80%","0-35","0","120","N","Withdrawn"
"CCC","2014B","255310","M","East Midlands Region","HE Qualification","80-90%","0-35","0","90","N","Pass"
"CCC","2014B","256532","M","South Region","A Level or Equivalent","50-60%","35-55","0","70","N","Withdrawn"
"CCC","2014B","260062","M","Scotland","HE Qualification","90-100%","0-35","0","150","N","Withdrawn"
"CCC","2014B","260949","F","East Anglian Region","A Level or Equivalent","40-50%","0-35","0","150","N","Pass"
"CCC","2014B","261042","M","London Region","Lower Than A Level","60-70%","0-35","0","120","N","Fail"
"CCC","2014B","261265","M","East Anglian Region","Lower Than A Level","70-80%","0-35","0","120","N","Fail"
"CCC","2014B","261615","M","Yorkshire Region","HE Qualification","20-30%","0-35","0","60","N","Pass"
"CCC","2014B","262391","F","Yorkshire Region","A Level or Equivalent","10-20","0-35","0","240","Y","Withdrawn"
"CCC","2014B","264159","M","South West Region","A Level or Equivalent","40-50%","35-55","0","30","N","Pass"
"CCC","2014B","264285","M","London Region","A Level or Equivalent","20-30%","0-35","0","60","N","Withdrawn"
"CCC","2014B","266040","M","East Anglian Region","A Level or Equivalent","20-30%","0-35","0","60","N","Withdrawn"
"CCC","2014B","266558","M","Yorkshire Region","A Level or Equivalent","30-40%","0-35","0","90","Y","Withdrawn"
"CCC","2014B","266915","M","North Western Region","Lower Than A Level","60-70%","35-55","0","60","N","Withdrawn"
"CCC","2014B","267118","F","South West Region","Lower Than A Level","30-40%","0-35","0","90","Y","Withdrawn"
"CCC","2014B","268018","M","London Region","Lower Than A Level","40-50%","0-35","0","60","N","Withdrawn"
"CCC","2014B","268127","F","East Anglian Region","A Level or Equivalent","70-80%","35-55","0","60","N","Withdrawn"
"CCC","2014B","269676","M","North Western Region","Lower Than A Level","20-30%","35-55","0","90","N","Pass"
"CCC","2014B","272103","M","Scotland","A Level or Equivalent","30-40%","35-55","0","90","Y","Withdrawn"
"CCC","2014B","277577","F","London Region","A Level or Equivalent","80-90%","35-55","0","120","N","Withdrawn"
"CCC","2014B","277809","M","South East Region","A Level or Equivalent","40-50%","35-55","0","60","N","Withdrawn"
"CCC","2014B","278861","M","Wales","A Level or Equivalent","40-50%","0-35","0","60","N","Withdrawn"
"CCC","2014B","279868","F","Yorkshire Region","HE Qualification","30-40%","0-35","0","120","N","Pass"
"CCC","2014B","279883","M","East Midlands Region","A Level or Equivalent","0-10%","0-35","0","150","N","Withdrawn"
"CCC","2014B","281261","M","Ireland","HE Qualification","80-90%","0-35","0","30","N","Withdrawn"
"CCC","2014B","281801","M","Wales","Post Graduate Qualification","80-90%","35-55","0","30","N","Distinction"
"CCC","2014B","282193","M","North Western Region","No Formal quals","20-30%","0-35","0","30","N","Pass"
"CCC","2014B","283798","M","London Region","Lower Than A Level","40-50%","35-55","0","60","N","Pass"
"CCC","2014B","284812","M","Ireland","HE Qualification","80-90%","35-55","0","30","N","Distinction"
"CCC","2014B","285170","M","London Region","A Level or Equivalent","10-20","35-55","0","60","N","Pass"
"CCC","2014B","285475","M","Yorkshire Region","HE Qualification","30-40%","0-35","0","160","N","Pass"
"CCC","2014B","289009","M","Yorkshire Region","HE Qualification","10-20","35-55","0","150","N","Pass"
"CCC","2014B","289397","M","South East Region","A Level or Equivalent","60-70%","0-35","0","60","Y","Withdrawn"
"CCC","2014B","290382","M","London Region","Lower Than A Level","10-20","0-35","0","60","N","Withdrawn"
"CCC","2014B","291805","F","Wales","HE Qualification","10-20","0-35","0","30","N","Pass"
"CCC","2014B","294578","M","London Region","HE Qualification","20-30%","0-35","0","60","N","Withdrawn"
"CCC","2014B","295893","M","East Midlands Region","A Level or Equivalent","10-20","0-35","0","60","Y","Withdrawn"
"CCC","2014B","296411","M","East Midlands Region","A Level or Equivalent","80-90%","0-35","0","30","N","Pass"
"CCC","2014B","298040","F","South Region","HE Qualification","80-90%","35-55","0","30","N","Pass"
"CCC","2014B","300059","M","South Region","A Level or Equivalent","40-50%","0-35","0","180","Y","Pass"
"CCC","2014B","300594","M","East Midlands Region","A Level or Equivalent","70-80%","0-35","0","60","Y","Withdrawn"
"CCC","2014B","300611","M","North Western Region","HE Qualification","0-10%","0-35","0","120","N","Withdrawn"
"CCC","2014B","301232","M","South West Region","HE Qualification","60-70%","0-35","0","30","N","Pass"
"CCC","2014B","305783","M","East Anglian Region","Lower Than A Level","70-80%","0-35","0","60","N","Withdrawn"
"CCC","2014B","305876","M","Scotland","HE Qualification","50-60%","0-35","0","120","Y","Fail"
"CCC","2014B","305974","M","West Midlands Region","A Level or Equivalent","0-10%","0-35","0","120","N","Withdrawn"
"CCC","2014B","306150","M","Scotland","A Level or Equivalent","80-90%","0-35","0","90","N","Withdrawn"
"CCC","2014B","308391","M","West Midlands Region","A Level or Equivalent","30-40%","0-35","0","60","N","Withdrawn"
"CCC","2014B","308918","F","London Region","HE Qualification","20-30%","35-55","0","135","N","Fail"
"CCC","2014B","309118","M","South Region","HE Qualification","70-80%","0-35","0","120","N","Pass"
"CCC","2014B","309515","F","Scotland","Post Graduate Qualification","90-100%","35-55","0","60","N","Withdrawn"
"CCC","2014B","310088","M","Ireland","Lower Than A Level","50-60%","0-35","0","60","N","Withdrawn"
"CCC","2014B","311616","M","South West Region","HE Qualification","80-90%","0-35","0","30","N","Pass"
"CCC","2014B","312886","F","South East Region","Lower Than A Level","80-90%","0-35","0","60","N","Fail"
"CCC","2014B","314555","F","South Region","A Level or Equivalent","30-40%","0-35","0","120","Y","Withdrawn"
"CCC","2014B","315322","M","East Midlands Region","A Level or Equivalent","20-30%","0-35","0","60","N","Withdrawn"
"CCC","2014B","315728","M","North Region","HE Qualification","30-40%","0-35","0","30","N","Pass"
"CCC","2014B","316061","M","North Western Region","Lower Than A Level","0-10%","0-35","0","180","Y","Fail"
"CCC","2014B","316227","M","West Midlands Region","HE Qualification","50-60%","35-55","0","30","N","Distinction"
"CCC","2014B","318574","M","North Western Region","A Level or Equivalent","40-50%","0-35","0","90","N","Withdrawn"
"CCC","2014B","319042","M","London Region","A Level or Equivalent","10-20","35-55","0","180","N","Fail"
"CCC","2014B","320153","F","Yorkshire Region","Lower Than A Level","80-90%","0-35","0","30","N","Withdrawn"
"CCC","2014B","321112","M","North Region","A Level or Equivalent","0-10%","0-35","0","60","N","Withdrawn"
"CCC","2014B","324257","M","London Region","A Level or Equivalent","0-10%","0-35","0","60","N","Fail"
"CCC","2014B","325497","F","South West Region","A Level or Equivalent","20-30%","0-35","0","150","N","Withdrawn"
"CCC","2014B","328261","M","West Midlands Region","A Level or Equivalent","60-70%","0-35","0","30","N","Fail"
"CCC","2014B","329673","M","North Region","Lower Than A Level","","35-55","0","60","N","Pass"
"CCC","2014B","330862","M","North Region","A Level or Equivalent","","0-35","0","150","N","Fail"
"CCC","2014B","330994","M","East Midlands Region","Lower Than A Level","50-60%","0-35","0","30","N","Withdrawn"
"CCC","2014B","335553","M","West Midlands Region","HE Qualification","20-30%","0-35","0","60","N","Withdrawn"
"CCC","2014B","335648","F","South East Region","Lower Than A Level","90-100%","0-35","0","150","N","Fail"
"CCC","2014B","336398","M","North Western Region","A Level or Equivalent","20-30%","35-55","0","60","N","Distinction"
"CCC","2014B","336695","F","East Midlands Region","A Level or Equivalent","0-10%","0-35","0","135","N","Withdrawn"
"CCC","2014B","338604","M","Scotland","A Level or Equivalent","80-90%","0-35","0","210","N","Pass"
"CCC","2014B","338731","M","Yorkshire Region","Lower Than A Level","10-20","35-55","0","30","N","Withdrawn"
"CCC","2014B","338854","M","Wales","HE Qualification","40-50%","35-55","0","150","N","Withdrawn"
"CCC","2014B","339353","M","East Midlands Region","A Level or Equivalent","70-80%","0-35","0","120","N","Withdrawn"
"CCC","2014B","342089","M","North Region","HE Qualification","","35-55","0","90","N","Fail"
"CCC","2014B","342957","M","Scotland","Lower Than A Level","80-90%","0-35","0","60","N","Fail"
"CCC","2014B","342974","M","East Anglian Region","Lower Than A Level","50-60%","0-35","0","60","N","Pass"
"CCC","2014B","344367","M","North Region","Lower Than A Level","30-40%","0-35","0","90","N","Fail"
"CCC","2014B","344396","F","Wales","A Level or Equivalent","50-60%","0-35","0","30","N","Fail"
"CCC","2014B","345256","M","Scotland","HE Qualification","70-80%","0-35","0","30","N","Pass"
"CCC","2014B","347257","M","North Western Region","Lower Than A Level","90-100%","0-35","0","120","N","Withdrawn"
"CCC","2014B","347518","M","Scotland","A Level or Equivalent","10-20","35-55","0","120","N","Withdrawn"
"CCC","2014B","347764","M","South East Region","Lower Than A Level","0-10%","0-35","0","90","N","Fail"
"CCC","2014B","348050","M","London Region","A Level or Equivalent","40-50%","0-35","0","90","N","Fail"
"CCC","2014B","348159","F","London Region","HE Qualification","0-10%","0-35","0","30","N","Pass"
"CCC","2014B","349069","M","South West Region","Lower Than A Level","0-10%","0-35","0","60","N","Fail"
"CCC","2014B","351328","F","North Region","Lower Than A Level","0-10%","0-35","0","60","N","Withdrawn"
"CCC","2014B","351577","M","Scotland","A Level or Equivalent","50-60%","0-35","0","90","N","Pass"
"CCC","2014B","351775","F","Scotland","HE Qualification","40-50%","35-55","0","90","N","Pass"
"CCC","2014B","353066","M","East Midlands Region","A Level or Equivalent","30-40%","0-35","0","90","N","Withdrawn"
"CCC","2014B","353660","M","West Midlands Region","A Level or Equivalent","60-70%","0-35","0","30","N","Withdrawn"
"CCC","2014B","353804","M","North Western Region","HE Qualification","30-40%","35-55","0","60","N","Withdrawn"
"CCC","2014B","353979","M","London Region","Lower Than A Level","20-30%","0-35","0","90","N","Withdrawn"
"CCC","2014B","354607","F","Wales","Lower Than A Level","20-30%","35-55","0","120","N","Pass"
"CCC","2014B","355143","M","North Western Region","A Level or Equivalent","70-80%","35-55","0","30","N","Fail"
"CCC","2014B","356274","M","Scotland","A Level or Equivalent","10-20","0-35","0","90","N","Fail"
"CCC","2014B","356523","M","West Midlands Region","Lower Than A Level","0-10%","0-35","0","60","N","Withdrawn"
"CCC","2014B","357176","M","South West Region","HE Qualification","50-60%","35-55","0","90","N","Pass"
"CCC","2014B","357214","F","South West Region","Lower Than A Level","10-20","0-35","0","60","Y","Withdrawn"
"CCC","2014B","357485","M","South West Region","A Level or Equivalent","30-40%","35-55","0","60","N","Withdrawn"
"CCC","2014B","357851","M","East Anglian Region","Lower Than A Level","50-60%","0-35","0","90","Y","Withdrawn"
"CCC","2014B","357942","F","East Anglian Region","Lower Than A Level","50-60%","0-35","0","70","N","Withdrawn"
"CCC","2014B","358075","F","South West Region","A Level or Equivalent","80-90%","0-35","0","60","N","Withdrawn"
"CCC","2014B","359114","F","Yorkshire Region","A Level or Equivalent","0-10%","0-35","0","60","Y","Pass"
"CCC","2014B","359460","F","South East Region","A Level or Equivalent","60-70%","0-35","0","90","Y","Withdrawn"
"CCC","2014B","360547","M","South Region","A Level or Equivalent","70-80%","0-35","0","30","N","Withdrawn"
"CCC","2014B","361410","F","London Region","A Level or Equivalent","60-70%","0-35","0","145","N","Pass"
"CCC","2014B","362223","F","South Region","A Level or Equivalent","60-70%","0-35","0","60","N","Pass"
"CCC","2014B","362661","M","North Western Region","A Level or Equivalent","30-40%","0-35","0","90","N","Withdrawn"
"CCC","2014B","363374","M","Wales","Lower Than A Level","40-50%","35-55","0","30","N","Fail"
"CCC","2014B","363773","F","South East Region","A Level or Equivalent","70-80%","35-55","0","90","N","Pass"
"CCC","2014B","363906","M","North Western Region","HE Qualification","0-10%","35-55","0","30","N","Fail"
"CCC","2014B","363939","M","West Midlands Region","Lower Than A Level","30-40%","0-35","0","60","N","Fail"
"CCC","2014B","364920","M","Scotland","HE Qualification","50-60%","0-35","0","60","N","Withdrawn"
"CCC","2014B","365993","M","South West Region","A Level or Equivalent","80-90%","0-35","0","90","N","Fail"
"CCC","2014B","366310","M","North Region","Lower Than A Level","20-30%","0-35","0","30","N","Pass"
"CCC","2014B","366424","F","South Region","HE Qualification","20-30%","0-35","0","135","N","Withdrawn"
"CCC","2014B","366872","F","South East Region","Lower Than A Level","20-30%","0-35","0","120","N","Withdrawn"
